Model,TDP
Intel Pentium II Xeon 450,34.5
Intel Pentium II Xeon 450,42.8
Intel Pentium II Xeon 450,46.7
Intel Pentium III Xeon 500,36
Intel Pentium III Xeon 500,44
Intel Pentium III Xeon 500,36.2
Intel Pentium III Xeon 550,34
Intel Pentium III Xeon 550,34
Intel Pentium III Xeon 550,34
Intel Pentium III Xeon 600,19.2
Intel Pentium III Xeon 667,21.3
Intel Pentium III Xeon 700,29.6
Intel Pentium III Xeon 700,29.6
Intel Pentium III Xeon 733,23.3
Intel Pentium III Xeon 800,25.4
Intel Pentium III Xeon 866,29.6
Intel Pentium III Xeon 900,39.3
Intel Pentium III Xeon 933,29.6
Intel Pentium III Xeon 1.00,30.8
Intel Xeon Gold 6208U,150
Intel Xeon Gold 6209U,125
Intel Xeon Gold 6210U,150
Intel Xeon Gold 6212U,165
Intel Xeon Bronze 3204,85
Intel Xeon Bronze 3206R,85
Intel Xeon Silver 4208,85
Intel Xeon Silver 4209T,70
Intel Xeon Silver 4210,85
Intel Xeon Silver 4210R,100
Intel Xeon Silver 4210T,95
Intel Xeon Silver 4211W,100
Intel Xeon Silver 4213W,115
Intel Xeon Silver 4214,85
Intel Xeon Silver 4214R,100
Intel Xeon Silver 4214Y,85
Intel Xeon Silver 4215,85
Intel Xeon Silver 4215R,130
Intel Xeon Silver 4216,100
Intel Xeon Silver 4216R,125
Intel Xeon Gold 5215R,100
Intel Xeon Gold 5218R,125
Intel Xeon Gold 5219Y,125
Intel Xeon Gold 5220R,150
Intel Xeon Gold 6222,115
Intel Xeon Gold 6226R,150
Intel Xeon Gold 6230R,150
Intel Xeon Gold 6238R,165
Intel Xeon Gold 6240R,165
Intel Xeon Gold 6242R,205
Intel Xeon Gold 6246R,205
Intel Xeon Gold 6248R,205
Intel Xeon Gold 6258R,205
Intel Xeon Gold 6262,135
Intel Xeon Gold 6269Y,240
Intel Xeon Gold 5213W,100
Intel Xeon Gold 5215,85
Intel Xeon Gold 5215L,85
Intel Xeon Gold 5215M,85
Intel Xeon Gold 5216W,160
Intel Xeon Gold 5217,115
Intel Xeon Gold 5218,125
Intel Xeon Gold 5218B,125
